,iskele,sancak,avarage_radius,heading_rate
0,-100.0,100.0,1.6042354695829195,0.3265347520535723
1,-95.0,100.0,1.884053451174914,0.3167333053187644
2,-90.0,100.0,2.1718473846263677,0.3072372127179076
3,-85.0,100.0,2.4654985433361576,0.29812123876474256
4,-80.0,100.0,2.763108723723385,0.2894520641988499
5,-75.0,100.0,3.062399099408519,0.2812815445272702
6,-70.0,100.0,3.360850169090581,0.27364180451425735
7,-65.0,100.0,3.655807703065195,0.2665485600572732
8,-60.0,100.0,3.9443575935398707,0.2600169842456522
9,-55.0,100.0,4.223810805441874,0.25403630916878855
10,-50.0,100.0,4.491479296023709,0.24859395302327184
11,-45.0,100.0,4.744624895626625,0.2436811040086293
12,-40.0,100.0,4.980499446301441,0.23929177489974035
13,-35.0,100.0,5.196394308637449,0.2354220757148926
14,-30.0,100.0,5.389698044470345,0.23206965117739098
15,-25.0,100.0,5.557960060072518,0.22923323785919955
16,-20.0,100.0,5.698957244548569,0.2269123114151259
17,-15.0,100.0,5.810760041127562,0.2251068053119125
18,-10.0,100.0,5.891794021272376,0.22381688969615582
19,-5.0,100.0,5.9408929801239285,0.2230428037134706
20,0.0,100.0,5.957339893889909,0.222784737538809
21,5.0,100.0,5.985709899897577,0.22234110983203034
22,10.0,100.0,6.071547147889905,0.2210099489019621
23,15.0,100.0,6.217080334765321,0.21879039928836422
24,20.0,100.0,6.426188667647378,0.21568066419142434
25,25.0,100.0,6.704672650554743,0.21167740868611168
26,30.0,100.0,7.06068785711157,0.20677493850963316
27,35.0,100.0,7.5054117808952,0.2009641249989347
28,40.0,100.0,8.054063271598654,0.19423103192048766
29,45.0,100.0,8.727480962591967,0.18655515512213808
30,50.0,100.0,9.554628738334198,0.1779071130507887
31,55.0,100.0,10.576713856386007,0.16824550502131763
32,60.0,100.0,11.854266729190037,0.15751244223093913
33,65.0,100.0,13.480021393766526,0.1456268609616691
34,70.0,100.0,15.604092445491501,0.132473931834247
35,75.0,100.0,18.487980209777874,0.11788713408928421
36,80.0,100.0,22.63583814213949,0.10161530583914372
37,85.0,100.0,29.175841891996694,0.08325501745373533
38,90.0,100.0,41.32765305122347,0.06208748549575867
39,95.0,100.0,74.12170033192875,0.03656260760807982
40,100.0,100.0,48745.7293072403,-5.8611984556330396e-05
41,-100.0,95.0,1.2680377556756601,0.31887897552015704
42,-95.0,95.0,1.5445792563798275,0.30911086441894936
43,-90.0,95.0,1.8270917199650636,0.29950388857031524
44,-85.0,95.0,2.1167642356201224,0.2901970079603102
45,-80.0,95.0,2.41201069643849,0.2812763913151488
46,-75.0,95.0,2.7107602746959416,0.2728122657796222
47,-70.0,95.0,3.010529552224735,0.2648579146569722
48,-65.0,95.0,3.3086087766078967,0.2574435406385403
49,-60.0,95.0,3.602026199003657,0.25059065751523196
50,-55.0,95.0,3.8876188529277744,0.24431257045576582
51,-50.0,95.0,4.162336387896791,0.2386042480653297
52,-45.0,95.0,4.423195080160399,0.2334540504478891
53,-40.0,95.0,4.667170883151973,0.22885410970005204
54,-35.0,95.0,4.891255226987065,0.22479936916360774
55,-30.0,95.0,5.092521785323931,0.22128680962987
56,-25.0,95.0,5.268202057190135,0.21831484680203941
57,-20.0,95.0,5.415766215130026,0.21588285801630624
58,-15.0,95.0,5.533004678489407,0.2139908091601452
59,-10.0,95.0,5.618105214101693,0.21263896370125743
60,-5.0,95.0,5.669720159647898,0.21182766317649215
61,0.0,95.0,5.6870187059152615,0.2115571732159522
62,5.0,95.0,5.716867904870466,0.2110922169447691
63,10.0,95.0,5.807260947828957,0.20969695602898258
64,15.0,95.0,5.960794774314325,0.20737021582432655
65,20.0,95.0,6.182011624719538,0.20410956666066027
66,25.0,95.0,6.477754773682651,0.1999105422450589
67,30.0,95.0,6.857746698235875,0.19476557031044606
68,35.0,95.0,7.335495605560217,0.18866256489432276
69,40.0,95.0,7.929716373390352,0.1815831072725877
70,45.0,95.0,8.666599667391857,0.1735000684081146
71,50.0,95.0,9.583552332585525,0.16437440175162327
72,55.0,95.0,10.735635819203951,0.15415062004582936
73,60.0,95.0,12.207284414364318,0.1427500716366099
74,65.0,95.0,14.135208910313425,0.13006033555279217
75,70.0,95.0,16.757509466608305,0.11591731344304662
76,75.0,95.0,20.53298962242214,0.10007235482186098
77,80.0,95.0,26.487539898634612,0.08212485476753655
78,85.0,95.0,37.545404850961894,0.061359964423094666
79,90.0,95.0,67.32378313153181,0.03623653969946195
80,95.0,95.0,52217.15172693214,-4.938066804344674e-05
81,100.0,95.0,74.08902778026776,-0.036578796520840375
82,-100.0,90.0,0.9372275011065979,0.3109045176286031
83,-95.0,90.0,1.2082142366614415,0.30124829001275305
84,-90.0,90.0,1.4849639438136009,0.2916319898024638
85,-85.0,90.0,1.7698155293719708,0.28221660836597523
86,-80.0,90.0,2.0616230748174877,0.27310636724977416
87,-75.0,90.0,2.35865271257032,0.26439121525389137
88,-70.0,90.0,2.658636733549949,0.25614371805752734
89,-65.0,90.0,2.9588680047773894,0.24841724525866588
90,-60.0,90.0,3.2563617368804527,0.24124388883209177
91,-55.0,90.0,3.5477898545666755,0.2346491305923637
92,-50.0,90.0,3.8297121647746963,0.22864351462081492
93,-45.0,90.0,4.098638188498748,0.2232290081071714
94,-40.0,90.0,4.351239182419541,0.2183952404991579
95,-35.0,90.0,4.5841676439184145,0.21413546252780616
96,-30.0,90.0,4.794134010696943,0.21044566161247324
97,-25.0,90.0,4.9779965608203,0.20732374886258892
98,-20.0,90.0,5.132859983418687,0.20476891719769108
99,-15.0,90.0,5.256176881143695,0.20278113913448184
100,-10.0,90.0,5.345845299894521,0.20136077801297586
101,-5.0,90.0,5.400294868266169,0.20050829625069147
102,0.0,90.0,5.418554435084696,0.20022405135641114
103,5.0,90.0,5.450074024718092,0.19973550376276134
104,10.0,90.0,5.5456251318287455,0.19826931619550503
105,15.0,90.0,5.708263650609615,0.19582390489708676
106,20.0,90.0,5.943365268201494,0.19239602470939907
107,25.0,90.0,6.259101492763076,0.18797972868767776
108,30.0,90.0,6.667226533106378,0.18256495413540527
109,35.0,90.0,7.184340103798174,0.17613564767297818
110,40.0,90.0,7.833926393660825,0.16866730637958727
111,45.0,90.0,8.649732525027765,0.1601236853741987
112,50.0,90.0,9.681597385788782,0.15045220248578475
113,55.0,90.0,11.006069482686453,0.139577168540922
114,60.0,90.0,12.747162284100426,0.12738917496612814
115,65.0,90.0,15.120847446444829,0.11372723698429817
116,70.0,90.0,18.54308493841175,0.09834607957647773
117,75.0,90.0,23.943179029212157,0.08084916652282745
118,80.0,90.0,33.966431357487465,0.06052774642163599
119,85.0,90.0,60.89582986907128,0.035854000699752434
120,90.0,90.0,56861.48301248008,-4.069955261499558e-05
121,95.0,90.0,67.28318459598599,-0.03625847255328206
122,100.0,90.0,41.325833295514116,-0.06209034633700718
123,-100.0,85.0,0.6080766318992475,0.30247538617233466
124,-95.0,85.0,0.8740992984849568,0.29303048013394795
125,-90.0,85.0,1.1451141852846685,0.28351470370537657
126,-85.0,85.0,1.4246827480844084,0.27409070475303265
127,-80.0,85.0,1.7122075673778632,0.2648734598942902
128,-75.0,85.0,2.006431405821246,0.255969705513266
129,-70.0,85.0,2.3054488548366794,0.24747170094597085
130,-65.0,85.0,2.6067568589058396,0.23945415813842713
131,-60.0,85.0,2.9073929063581687,0.2319698230390535
132,-55.0,85.0,3.2039937636396862,0.22505587983323125
133,-50.0,85.0,3.4928367148382615,0.21873951555549165
134,-45.0,85.0,3.77013531906501,0.21302949402882043
135,-40.0,85.0,4.031894619856337,0.207934285449869
136,-35.0,85.0,4.274373309134666,0.20344576531128547
137,-30.0,85.0,4.493862816547345,0.19955851600178065
138,-25.0,85.0,4.686781911847624,0.19626968319763283
139,-20.0,85.0,4.849797224662157,0.1935781433956635
140,-15.0,85.0,4.979950506602155,0.19148382897857305
141,-10.0,85.0,5.074783326985399,0.18998720419313006
142,-5.0,85.0,5.132448895156715,0.18908887269081884
143,0.0,85.0,5.151800858304498,0.1887893036546094
144,5.0,85.0,5.185220581027423,0.18827450712152619
145,10.0,85.0,5.2866571115498076,0.18672936715306826
146,15.0,85.0,5.4597464268821945,0.18415177159786247
147,20.0,85.0,5.710928279224268,0.18053741501656365
148,25.0,85.0,6.0500966795948425,0.17587839110225742
149,30.0,85.0,6.491696899522931,0.17016129148761128
150,35.0,85.0,7.056535485419292,0.16336465986442789
151,40.0,85.0,7.774808640188361,0.155455588844019
152,45.0,85.0,8.691349534272538,0.14638502249029656
153,50.0,85.0,9.875203219410333,0.13608091888410112
154,55.0,85.0,11.438351651977642,0.12443762779494803
155,60.0,85.0,13.575846276051779,0.11129811511968017
156,65.0,85.0,16.663191197119406,0.09642149786864745
157,70.0,85.0,21.53853654082089,0.07941671672602058
158,75.0,85.0,30.583976951219586,0.05958342213277781
159,80.0,85.0,54.824965512709575,0.03541103952757759
160,85.0,85.0,63062.79321107547,-3.273310847758912e-05
161,90.0,85.0,60.84659344266467,-0.03588307531340178
162,95.0,85.0,37.54282555742671,-0.06136433945401655
163,100.0,85.0,29.175532000625342,-0.083256037465441
164,-100.0,80.0,0.27857592923568286,0.29352028969039673
165,-95.0,80.0,0.5406468591687688,0.28435649542318564
166,-90.0,80.0,0.8065281023390919,0.275042226074735
167,-85.0,80.0,1.080868797119882,0.265714873953101
